CHANGENR,CHNGIND,FNAME,MANDANT,OBJECTCLAS,OBJECTID,TABKEY,TABNAME,TEXT_CASE,_DATAAGING
0000735007,I,KEY,204,ADRESSE,ME020000129907,204000012990700010101,ADRC,1,00/00/0000
0000735010,I,KEY,204,ADRESSE,ME020000129908,204000012990800010101,ADRC,1,00/00/0000
0000735012,I,KEY,204,ADRESSE,ME020000129909,204000012990900010101,ADRC,1,00/00/0000
0000735015,I,KEY,204,ADRESSE,ME020000129910,204000012991000010101,ADRC,1,00/00/0000
0000735017,I,KEY,204,ADRESSE,ME020000129911,204000012991100010101,ADRC,1,00/00/0000
0000735022,I,KEY,204,ADRESSE,ME020000129912,204000012991200010101,ADRC,1,00/00/0000
0000735024,I,KEY,204,ADRESSE,ME020000129913,204000012991300010101,ADRC,1,00/00/0000
0000735027,I,KEY,204,ADRESSE,ME020000129914,204000012991400010101,ADRC,1,00/00/0000
0000735029,I,KEY,204,ADRESSE,ME020000129915,204000012991500010101,ADRC,1,00/00/0000
0000735034,I,KEY,204,ADRESSE,ME020000129916,204000012991600010101,ADRC,1,00/00/0000
0000735036,I,KEY,204,ADRESSE,ME020000129917,204000012991700010101,ADRC,1,00/00/0000
0000735039,I,KEY,204,ADRESSE,ME020000129918,204000012991800010101,ADRC,1,00/00/0000
0000735041,I,KEY,204,ADRESSE,ME020000129919,204000012991900010101,ADRC,1,00/00/0000
0000735044,I,KEY,204,ADRESSE,ME020000129920,204000012992000010101,ADRC,1,00/00/0000
0000735046,I,KEY,204,ADRESSE,ME020000129921,204000012992100010101,ADRC,1,00/00/0000
0000735049,I,KEY,204,ADRESSE,ME020000129922,204000012992200010101,ADRC,1,00/00/0000
0000735051,I,KEY,204,ADRESSE,ME020000129923,204000012992300010101,ADRC,1,00/00/0000
0000735054,I,KEY,204,ADRESSE,ME020000129924,204000012992400010101,ADRC,1,00/00/0000
0000735056,I,KEY,204,ADRESSE,ME020000129925,204000012992500010101,ADRC,1,00/00/0000
0000735059,I,KEY,204,ADRESSE,ME020000129926,204000012992600010101,ADRC,1,00/00/0000
0000735061,I,KEY,204,ADRESSE,ME020000129927,204000012992700010101,ADRC,1,00/00/0000
0000735064,I,KEY,204,ADRESSE,ME020000129928,204000012992800010101,ADRC,1,00/00/0000
0000735066,I,KEY,204,ADRESSE,ME020000129929,204000012992900010101,ADRC,1,00/00/0000
0000735069,I,KEY,204,ADRESSE,ME020000129930,204000012993000010101,ADRC,1,00/00/0000
0000735071,I,KEY,204,ADRESSE,ME020000129931,204000012993100010101,ADRC,1,00/00/0000
0000735074,I,KEY,204,ADRESSE,ME020000129932,204000012993200010101,ADRC,1,00/00/0000
0000735076,I,KEY,204,ADRESSE,ME020000129933,204000012993300010101,ADRC,1,00/00/0000
0000735079,I,KEY,204,ADRESSE,ME020000129934,204000012993400010101,ADRC,1,00/00/0000
0000735081,I,KEY,204,ADRESSE,ME020000129935,204000012993500010101,ADRC,1,00/00/0000
0000735084,I,KEY,204,ADRESSE,ME020000129936,204000012993600010101,ADRC,1,00/00/0000
0000735086,I,KEY,204,ADRESSE,ME020000129937,204000012993700010101,ADRC,1,00/00/0000
0000735089,I,KEY,204,ADRESSE,ME020000129938,204000012993800010101,ADRC,1,00/00/0000
0000735091,I,KEY,204,ADRESSE,ME020000129939,204000012993900010101,ADRC,1,00/00/0000
0000735094,I,KEY,204,ADRESSE,ME020000129940,204000012994000010101,ADRC,1,00/00/0000
0000735096,I,KEY,204,ADRESSE,ME020000129941,204000012994100010101,ADRC,1,00/00/0000
0000735099,I,KEY,204,ADRESSE,ME020000129942,204000012994200010101,ADRC,1,00/00/0000
0000735101,I,KEY,204,ADRESSE,ME020000129943,204000012994300010101,ADRC,1,00/00/0000
0000735104,I,KEY,204,ADRESSE,ME020000129944,204000012994400010101,ADRC,1,00/00/0000
0000735106,I,KEY,204,ADRESSE,ME020000129945,204000012994500010101,ADRC,1,00/00/0000
0000735109,I,KEY,204,ADRESSE,ME020000129946,204000012994600010101,ADRC,1,00/00/0000
0000735111,I,KEY,204,ADRESSE,ME020000129947,204000012994700010101,ADRC,1,00/00/0000
0000735116,I,KEY,204,ADRESSE,ME020000129948,204000012994800010101,ADRC,1,00/00/0000
0000735118,I,KEY,204,ADRESSE,ME020000129949,204000012994900010101,ADRC,1,00/00/0000
0000735121,I,KEY,204,ADRESSE,ME020000129950,204000012995000010101,ADRC,1,00/00/0000
0000735123,I,KEY,204,ADRESSE,ME020000129951,204000012995100010101,ADRC,1,00/00/0000
0000735128,I,KEY,204,ADRESSE,ME020000129952,204000012995200010101,ADRC,1,00/00/0000
0000735130,I,KEY,204,ADRESSE,ME020000129953,204000012995300010101,ADRC,1,00/00/0000
0000735133,I,KEY,204,ADRESSE,ME020000129954,204000012995400010101,ADRC,1,00/00/0000
0000735135,I,KEY,204,ADRESSE,ME020000129955,204000012995500010101,ADRC,1,00/00/0000
0000735138,I,KEY,204,ADRESSE,ME020000129956,204000012995600010101,ADRC,1,00/00/0000
0000735140,I,KEY,204,ADRESSE,ME020000129957,204000012995700010101,ADRC,1,00/00/0000
0000735143,I,KEY,204,ADRESSE,ME020000129958,204000012995800010101,ADRC,1,00/00/0000
0000735145,I,KEY,204,ADRESSE,ME020000129959,204000012995900010101,ADRC,1,00/00/0000
0000735148,I,KEY,204,ADRESSE,ME020000129960,204000012996000010101,ADRC,1,00/00/0000
0000735150,I,KEY,204,ADRESSE,ME020000129961,204000012996100010101,ADRC,1,00/00/0000
0000735153,I,KEY,204,ADRESSE,ME020000129962,204000012996200010101,ADRC,1,00/00/0000
0000735155,I,KEY,204,ADRESSE,ME020000129963,204000012996300010101,ADRC,1,00/00/0000
0000735158,I,KEY,204,ADRESSE,ME020000129964,204000012996400010101,ADRC,1,00/00/0000
0000735160,I,KEY,204,ADRESSE,ME020000129965,204000012996500010101,ADRC,1,00/00/0000
0000735163,I,KEY,204,ADRESSE,ME020000129966,204000012996600010101,ADRC,1,00/00/0000
0000735165,I,KEY,204,ADRESSE,ME020000129967,204000012996700010101,ADRC,1,00/00/0000
0000735168,I,KEY,204,ADRESSE,ME020000129968,204000012996800010101,ADRC,1,00/00/0000
0000735170,I,KEY,204,ADRESSE,ME020000129969,204000012996900010101,ADRC,1,00/00/0000
0000735173,I,KEY,204,ADRESSE,ME020000129970,204000012997000010101,ADRC,1,00/00/0000
0000735175,I,KEY,204,ADRESSE,ME020000129971,204000012997100010101,ADRC,1,00/00/0000
0000735178,I,KEY,204,ADRESSE,ME020000129972,204000012997200010101,ADRC,1,00/00/0000
0000735180,I,KEY,204,ADRESSE,ME020000129973,204000012997300010101,ADRC,1,00/00/0000
0000735183,I,KEY,204,ADRESSE,ME020000129974,204000012997400010101,ADRC,1,00/00/0000
0000735185,I,KEY,204,ADRESSE,ME020000129975,204000012997500010101,ADRC,1,00/00/0000
0000735188,I,KEY,204,ADRESSE,ME020000129976,204000012997600010101,ADRC,1,00/00/0000
0000735190,I,KEY,204,ADRESSE,ME020000129977,204000012997700010101,ADRC,1,00/00/0000
0000735193,I,KEY,204,ADRESSE,ME020000129978,204000012997800010101,ADRC,1,00/00/0000
0000735195,I,KEY,204,ADRESSE,ME020000129979,204000012997900010101,ADRC,1,00/00/0000
0000735198,I,KEY,204,ADRESSE,ME020000129980,204000012998000010101,ADRC,1,00/00/0000
0000735200,I,KEY,204,ADRESSE,ME020000129981,204000012998100010101,ADRC,1,00/00/0000
0000735203,I,KEY,204,ADRESSE,ME020000129982,204000012998200010101,ADRC,1,00/00/0000
0000735205,I,KEY,204,ADRESSE,ME020000129983,204000012998300010101,ADRC,1,00/00/0000
0000735208,I,KEY,204,ADRESSE,ME020000129984,204000012998400010101,ADRC,1,00/00/0000
0000735210,I,KEY,204,ADRESSE,ME020000129985,204000012998500010101,ADRC,1,00/00/0000
0000735213,I,KEY,204,ADRESSE,ME020000129986,204000012998600010101,ADRC,1,00/00/0000
0000735215,I,KEY,204,ADRESSE,ME020000129987,204000012998700010101,ADRC,1,00/00/0000
0000735218,I,KEY,204,ADRESSE,ME020000129988,204000012998800010101,ADRC,1,00/00/0000
0000735220,I,KEY,204,ADRESSE,ME020000129989,204000012998900010101,ADRC,1,00/00/0000
0000735225,I,KEY,204,ADRESSE,ME020000129990,204000012999000010101,ADRC,1,00/00/0000
0000735227,I,KEY,204,ADRESSE,ME020000129991,204000012999100010101,ADRC,1,00/00/0000
0000735230,I,KEY,204,ADRESSE,ME020000129992,204000012999200010101,ADRC,1,00/00/0000
0000735232,I,KEY,204,ADRESSE,ME020000129993,204000012999300010101,ADRC,1,00/00/0000
0000735235,I,KEY,204,ADRESSE,ME020000129994,204000012999400010101,ADRC,1,
